Station ID,Station Name Chinese,Station Name English,Duplicate IDS,Station Names missing,Latitude,Longitude,Lines
847,翔殷路,Xiangyin Road,,Xiangyin Road,31.305128,121.531979,8
940,小南门,Xiaonanmen,,Xiaonanmen,31.216698,121.498366,9
1627,新场,Xinchang,,,31.04498,121.648854,16
734,新村路,Xincun Road,,Xincun Road,31.264243,121.42272,7
732,行知路,Xingzhi Road,,Xingzhi Road,31.28494,121.421487,7
929,星中路,Xingzhong Road,,Xingzhong Road,31.15815,121.368695,9
1068,新江湾城,Xinjiangwancheng,,Xinjiangwancheng,31.328584,121.506771,10
1053,新天地,Xintiandi,,Xintiandi,31.216379,121.475112,10
124,新闸路,Xinzha Road,,Xinzha Road,31.238454,121.467937,1
111,莘庄,Xinzhuang,111|501,Xinzhuang,31.111095,121.385337,1|5
501,莘庄,Xinzhuang   ,111|501,Xinzhuang,31.111095,121.385337,1|5
118,徐家汇,Xujiahui,118|1149|934,Xujiahui,31.194621,121.436139,1|9
934,徐家汇,Xujiahui,118|1149|934,Xujiahui,31.194621,121.436139,1|9
1149,徐家汇,Xujiahui,118|1149|934,Xujiahui,31.194621,121.436139,1|9
128,延长路,Yanchang Road,,Yanchang Road,31.271386,121.45549,1
415,杨树浦路,Yangshupu Road,,Yangshupu Road,31.252171,121.516996,4
827,杨思,Yangsi,,Yangsi,31.161065,121.493471,8
1158,严御路,Yanyu Road,,Yanyu Road (Not yet open),31.136556,121.558711,11
746,耀华路,Yaohua Road,746|829,Yaohua Road,31.178513,121.494621,7|8
829,耀华路,Yaohua Road,746|829,Yaohua Road,31.178513,121.494621,7|8
1047,伊犁路,Yili Road,,Yili Road,31.19893,121.40386,10
503,银都路,Yindu Road,,Yindu Road,31.089316,121.390344,5
315,宜山路,Yishan Road,315|402|933,Yishan Road,31.186717,121.427184,3|4|9
402,宜山路,Yishan Road,315|402|933,Yishan Road,31.186717,121.427184,3|4|9
933,宜山路,Yishan Road,315|402|933,Yishan Road,31.186717,121.427184,3|4|9
1060,邮电新村,Youdian Xincun,,Youdian Xincun,31.268642,121.494499,10
337,友谊路,Youyi Road,,Youyi Road,31.404012,121.475956,3
261,远东大道,Yuandong Avenue,,Yuandong Avenue,31.199441,121.755374,2
633,源深体育中心,Yuanshen Stadium,,Yuanshen Stadium,31.232985,121.534579,6
1152,云锦路,Yunjin Road,,,31.166474,121.458505,11
637,云山路,Yunshan Road,,Yunshan Road,31.250386,121.572737,6
747,云台路,Yuntai Road,,Yuntai Road,31.182128,121.500379,7
1159,御桥,Yuqiao,,,31.15831,121.57163,11
1055,豫园,Yuyuan Garden,,Yuyuan Garden,31.228093,121.487368,10
333,张华浜,Zhanghuabang,,Zhanghuabang,31.357981,121.498693,3
253,张江高科,Zhangjiang Hi-Tech Park,,Zhangjiang Hi-Tech Park,31.201825,121.587687,2
1116,兆丰路,Zhaofeng Road,,Zhaofeng Road,31.28897,121.150353,11
741,肇嘉浜路,Zhaojiabang Road,741|935,Zhaojiabang Road,31.199513,121.450331,7|9
935,肇嘉浜路,Zhaojiabang Road,741|935,Zhaojiabang Road,31.199513,121.450331,7|9
1325,真北路,Zhenbei Road,,Zhenbei Road,31.232362,121.381631,13
321,镇坪路,Zhenping Road,321|408|736,Zhenping Road,31.246509,121.430006,3|4|7
408,镇坪路,Zhenping Road,321|408|736,Zhenping Road,31.246509,121.430006,3|4|7
736,镇坪路,Zhenping Road,321|408|736,Zhenping Road,31.246509,121.430006,3|4|7
1143,真如,Zhenru,,Zhenru,31.250833,121.407201,11
927,中春路,Zhongchun Road,,Zhongchun Road,31.149431,121.33777,9
241,中山公园,Zhongshan Park,241|318|405,Zhongshan Park,31.218001,121.415713,2|3|4
318,中山公园,Zhongshan Park,241|318|405,Zhongshan Park,31.218001,121.415713,2|3|4
405,中山公园,Zhongshan Park,241|318|405,Zhongshan Park,31.218001,121.415713,2|3|4
322,中潭路,Zhongtan Road,322|409,Zhongtan Road,31.254699,121.441191,3|4
409,中潭路,Zhongtan Road,322|409,Zhongtan Road,31.254699,121.441191,3|4
837,中兴路,Zhongxing Road,,Zhongxing Road,31.253231,121.469031,8
644,洲海路,Zhouhai Road,,Zhouhai Road,31.312303,121.589423,6
505,颛桥,Zhuanqiao,,Zhuanqiao,31.066964,121.401916,5
1019,紫藤路,Ziteng Road,,Ziteng Road,31.169535,121.364503,10
919,醉白池,Zuibaichi Park,,Zuibaichi Park,31.001401,121.229631,9
